Date,#1878,#3349,#4628,#4684,#4922,#6146,#6273,#6367,#6861,#6954,#7309,#7453,#7717,#7974,#8035,#9022,9435,9605,9843,9983
12/6/2021,12720,17390,,20050,13560,32750,74000,25500,70690,23255,31770,1750,3460,50640,60060,15705,17450,18750,18350,67810
12/7/2021,13010,17800,,20870,13920,33000,76120,25860,71950,23545,31680,1842,3550,51560,61190,16220,18250,19440,18430,67860
12/8/2021,12960,17810,,20820,13790,32750,76960,26365,73050,24500,32140,1863,3570,53380,62910,16105,18170,19240,18520,68750
12/9/2021,13040,17700,37950,21000,14040,33100,76080,26320,72300,24050,32290,1850,3515,53620,62630,16075,18180,18870,18815,68630
12/10/2021,12970,17740,,20870,13970,33050,76120,26470,72370,24030,31640,1820,3500,53800,61840,16045,17770,18350,18520,68000
12/13/2021,12940,17210,38500,21350,14030,33100,77040,26910,72950,24240,32100,1828,3445,53620,62690,15955,17840,18360,18325,69760
12/14/2021,12990,17380,38050,21370,13880,32600,76210,26575,72750,24000,31980,1815,3400,53310,61540,15735,17810,17930,18135,67860
12/15/2021,12990,17600,38000,21650,13420,32700,76470,26350,72240,24160,32490,1825,3400,53400,61370,15915,17690,18220,18445,66960
12/16/2021,13070,17630,37550,21990,13460,33250,76870,27000,74040,24725,33250,1833,3475,54400,63280,16180,18200,18210,18690,68970
12/17/2021,13260,17610,37350,21440,13050,33050,76750,26300,72390,24255,32180,1774,3450,52930,61270,15940,18030,18190,18725,68060
12/20/2021,13050,17540,37650,21130,13270,32900,75120,25035,71580,23535,32030,1750,3335,53510,59600,15545,17600,17550,18255,66560
12/21/2021,13100,17540,37250,21290,13390,34100,76330,25320,73040,24175,32110,1775,3410,55500,62220,15595,17930,17760,18555,68350
12/22/2021,13020,16980,37350,21560,13420,34150,75500,25325,73420,23960,31930,1771,3410,54580,62680,15530,17940,17260,18465,68300
12/23/2021,13100,17050,37900,21560,13340,34350,76380,25585,74500,24045,31940,1776,3500,55400,63500,15695,17840,17470,18380,68200
12/24/2021,12970,16740,37900,21260,13240,34700,77170,25840,74090,24155,31680,1756,3525,55430,64260,15490,17790,17050,18150,67540
12/27/2021,12800,16610,37750,21310,13070,34800,76570,25750,73180,24045,30690,1728,3435,55400,65600,15360,17550,17050,16965,66360
12/28/2021,13000,16940,37650,21830,13330,35150,77660,26445,73620,24640,31730,1740,3490,55060,66790,15405,17880,17560,17680,66140
12/29/2021,13140,17100,38000,21730,13180,35150,77000,26210,71880,24480,30900,1751,3575,54760,66140,15545,17960,17140,17515,65670
12/30/2021,13170,16930,37800,21600,13050,35150,77590,26090,72280,24380,30660,1754,3595,53650,66280,15345,17710,17540,17225,65310
1/4/2022,13380,17170,37900,22030,13330,36000,79080,26310,73820,24870,30990,1775,3690,54380,68420,15295,17900,17400,17470,64840
1/5/2022,13550,16750,39200,21810,13160,35400,79010,26670,73860,25300,31270,1761,3685,53340,67460,15300,18090,16830,17855,64010
1/6/2022,13100,16700,38900,20560,13110,34550,76810,26100,69900,24650,31430,1726,3575,53060,65010,14985,17410,16140,17640,60880
1/7/2022,13490,16390,38950,19820,12620,35350,75580,25805,67850,24775,30520,1724,3600,53800,64920,14785,17620,16100,17460,60670
1/11/2022,13060,15730,38950,19110,11520,34700,72510,25755,62500,24180,30060,1646,3565,53830,62750,14815,17630,16280,17285,59260
1/12/2022,13450,16070,39000,19290,11650,35750,74870,26505,65610,24505,30460,1679,3675,53590,65100,15065,18000,16320,17385,60300
1/13/2022,13450,16380,,18350,11070,34900,72220,26020,64210,23920,29555,1657,3695,52730,65330,14720,17010,16060,16990,59140
1/14/2022,13290,15670,38750,18250,11010,35150,68330,25300,62160,22695,27890,1628,3625,51920,65220,14665,16360,15890,16725,63910
1/17/2022,13440,15600,39400,18790,10940,35200,67490,25450,62200,22900,27740,1616,3625,52780,65510,14745,16290,16020,16720,65100
1/18/2022,13390,15150,40100,18800,11270,35300,67480,25220,63500,23020,27695,1594,3590,53410,65560,14825,16130,15870,16730,66640
1/19/2022,13070,14820,37550,18380,11070,33950,66520,24420,62050,22480,26910,1530,3485,53290,61590,14705,15210,15510,16395,66490
1/20/2022,13340,14780,37450,18530,10980,33250,67600,24810,61940,22715,26860,1535,3520,54780,61310,14760,15500,15590,16440,67640
1/21/2022,13360,14920,37450,18480,10790,32000,65610,24765,60700,23105,26205,1499,3490,54710,57510,15060,15090,15970,16500,67390
1/24/2022,13420,14840,,18260,10940,32350,65480,24830,60050,23140,26665,1561,3485,53900,58440,15025,14770,16090,17295,68180
1/25/2022,13330,14670,37500,18200,10850,31250,63690,24295,58780,22920,26840,1580,3390,53950,56870,14920,14270,15990,16835,68000
1/26/2022,13090,14280,,18640,10650,32300,63370,24100,57720,22165,26245,1616,3390,56300,56410,14935,13920,15780,16640,67620
1/27/2022,13100,14190,37400,17990,10040,31650,61440,23075,56360,22410,24805,1553,3230,56080,53680,14685,13180,15800,16040,65840
1/28/2022,12790,14270,,18690,10260,30700,63720,23915,57340,22670,25065,1581,3340,56100,52970,14955,13340,16710,16350,68090
1/31/2022,13100,14310,,18770,10420,31100,63390,23825,58230,22460,25615,1636,3460,56160,54730,15145,13700,16990,16400,66990
2/1/2022,12730,14320,,18800,10900,32050,64100,23885,59410,22870,25860,1654,3400,56720,55370,15505,13710,16970,16305,65670
2/2/2022,12940,14280,37350,19070,11340,33150,66420,23605,63080,22975,26710,1718,3485,57740,56500,15710,14150,17650,16565,65240
2/3/2022,13070,14070,37250,18730,11230,32200,63910,22700,60060,22630,26070,1732,3395,56150,55200,15055,13790,17290,16420,62850
2/4/2022,13250,14150,,19000,11400,32400,64380,22745,59990,22575,26080,1768,3425,58180,56040,15145,14130,17670,16595,65090
2/7/2022,13480,14100,37200,18840,10980,32250,63910,22385,58760,22270,25940,1763,3400,58490,55270,14950,14130,17600,16250,64050
2/8/2022,13540,14410,37900,18630,11310,32200,63460,22480,58460,22575,25975,1744,3445,57680,55490,15505,14100,17820,16120,64150
2/9/2022,13330,14450,,18930,11500,33400,64210,22575,59500,22880,30350,1736,3525,58090,56130,15655,14600,17790,16330,64740
2/10/2022,13480,14970,37900,19230,11880,34350,65750,22450,60360,23100,29770,1745,3540,58060,57150,15780,14710,17820,16680,64310
2/14/2022,13460,14800,,18630,11580,33550,63190,21530,56820,22835,29150,1766,3375,57750,56580,15980,14490,17550,16580,62320
2/15/2022,12910,15250,,18720,12560,32850,65420,21505,57590,22865,28250,1739,3420,57420,55220,15825,14720,17300,16670,62970
2/16/2022,13140,15140,37250,18760,13080,33600,69290,21960,57380,23250,27855,1737,3570,58610,57930,16200,14510,17660,16785,64430
2/17/2022,12900,14890,37850,18400,13320,34650,68710,21765,54880,22780,26600,1729,3520,58760,58220,16350,14490,17370,16470,63700
2/18/2022,12840,15190,38300,18110,13470,33850,67630,21745,53970,21460,26860,1743,3535,59480,56810,16350,14360,17280,16350,64340
2/21/2022,12760,15760,38000,17660,13360,33950,67490,21450,52500,21525,26620,1764,3525,58770,55140,15930,14190,17120,16525,64410
2/22/2022,12940,15810,37900,17360,12950,32200,67010,21150,52210,21415,26485,1738,3485,57910,52910,15445,14250,17760,16550,63360
2/24/2022,12570,15950,37400,18030,12780,30350,65600,20355,52610,20255,26335,1719,3380,57050,53500,15105,14130,17780,16955,60940
2/25/2022,12580,15670,37350,18130,13090,32350,68120,20915,54480,21075,26130,1711,3420,56900,56600,15460,14220,17330,17055,61750
2/28/2022,12720,15870,38000,18310,13130,32150,68050,21205,53780,21155,26580,1689,3415,58020,55770,15490,14200,17820,17245,61830
